Time,Joint States
1731740791.1422782,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2256506481201173, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.2592427528564453, 0.7888513053737177, -1.2210487057617188, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.003069460332193454, 0.006138920664386908, -2.501922662182617, 0.25783466790425014, -0.7915340856445313)"
1731740791.1502194,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7903860355398143, -1.2210487057617188, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.1582189,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.47091556741573, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.001534730166096727, 0.004604190498290181, -2.50345664296875, 0.25936939807034687, -0.7915340856445313)"
1731740791.1662142,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.2592427528564453, 0.7903860355398143, -1.2210487057617188, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.1742136,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.2210487057617188, -0.0015339807861328126, 0.7857818450415243, 1.2231799423790914, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.1822195,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2256506481201173, -0.015339807861328126, 0.001534730166096727, 2.47091556741573, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.0015339807861328126, 0.7857818450415243, 1.2231799423790914, 0.003069460332193454, 0.004604190498290181, -2.501922662182617, 0.25783466790425014, -0.7915340856445313)"
1731740791.190245,"(0.001534730166096727, -0.17180584804687501, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.2592427528564453, 0.7888513053737177, -1.219514724975586, -0.0015339807861328126, 0.7873165752076209, 1.2231799423790914, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25783466790425014, -0.7915340856445313)"
1731740791.1982784,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2256506481201173, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.2210487057617188, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.2062664,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.214276,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2256506481201173, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.003069460332193454, 0.004604190498290181, -2.501922662182617, 0.25783466790425014, -0.7915340856445313)"
1731740791.2222195,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2256506481201173, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.2210487057617188, -0.0015339807861328126, 0.7857818450415243, 1.2231799423790914, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.2302814,"(0.0, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.47091556741573, -0.2592427528564453, 0.7888513053737177, -1.2210487057617188, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.003069460332193454, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.2382793,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.47091556741573, -0.26077673364257814, 0.7888513053737177, -1.2210487057617188, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.2462204,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.2210487057617188, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.003069460332193454, 0.004604190498290181, -2.50345664296875, 0.25936939807034687, -0.7915340856445313)"
1731740791.2542644,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.2210487057617188, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.003069460332193454, 0.004604190498290181, -2.501922662182617, 0.25783466790425014, -0.7915340856445313)"
1731740791.2622137,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.0015339807861328126, 0.7857818450415243, 1.2231799423790914, 0.003069460332193454, 0.004604190498290181, -2.501922662182617, 0.25783466790425014, -0.7915340856445313)"
1731740791.2702646,"(0.001534730166096727, -0.17180584804687501, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.003069460332193454, 0.004604190498290181, -2.501922662182617, 0.25783466790425014, -0.7915340856445313)"
1731740791.2782235,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.2592427528564453, 0.7888513053737177, -1.2210487057617188, -0.003067961572265625, 0.7857818450415243, 1.2231799423790914, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.2862191,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.2592427528564453, 0.7888513053737177, -1.2210487057617188, -0.0015339807861328126, 0.7857818450415243, 1.2231799423790914, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.294264,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25783466790425014, -0.7915340856445313)"
1731740791.3022778,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25783466790425014, -0.7915340856445313)"
1731740791.3102772,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2256506481201173, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.318217,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.47091556741573, -0.26077673364257814, 0.7888513053737177, -1.2210487057617188, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.003069460332193454, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.3262806,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.2210487057617188, -0.0015339807861328126, 0.7857818450415243, 1.2231799423790914, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.334288,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2256506481201173, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.0015339807861328126, 0.7857818450415243, 1.2231799423790914, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7900001048583984)"
1731740791.3422158,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2256506481201173, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.2592427528564453, 0.7888513053737177, -1.219514724975586, -0.0015339807861328126, 0.7857818450415243, 1.2231799423790914, 0.003069460332193454, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7900001048583984)"
1731740791.350218,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.0015339807861328126, 0.7857818450415243, 1.2231799423790914, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.3582578,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.0015339807861328126, 0.7857818450415243, 1.2231799423790914, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25783466790425014, -0.7900001048583984)"
1731740791.3663008,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2256506481201173, -0.015339807861328126, 0.001534730166096727, 2.47091556741573, -0.26077673364257814, 0.7888513053737177, -1.2210487057617188, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.3742793,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.003069460332193454, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.3822224,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.2592427528564453, 0.7888513053737177, -1.219514724975586, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.3902557,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.2210487057617188, -0.0015339807861328126, 0.7857818450415243, 1.2231799423790914, 0.001534730166096727, 0.006138920664386908, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.3982687,"(0.0, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.47091556741573, -0.2592427528564453, 0.7888513053737177, -1.2210487057617188, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.4062793,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2241166673339845, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.2592427528564453, 0.7888513053737177, -1.2210487057617188, -0.0015339807861328126, 0.7857818450415243, 1.2247146725451883, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
1731740791.414268,"(0.001534730166096727, -0.17333982883300783, 1.2293188630434784, 0.004604190498290181, -0.7884661240722657, -1.2256506481201173, -0.015339807861328126, 0.001534730166096727, 2.472450297581827, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.003067961572265625, 0.7857818450415243, 1.2247146725451883, 0.001534730166096727, 0.004604190498290181, -2.501922662182617, 0.25936939807034687, -0.7915340856445313)"
