CoM Computation Time,ZMP Calculation Time,Support Polygon Calculation Time
0.002726,0.000925,0.000133
0.00268,0.001093,0.000136
0.002724,0.001008,0.000195
0.002877,0.000896,0.000175
0.002404,0.000875,0.000133
0.002658,0.001412,0.000132
0.002488,0.000866,0.000142
0.002444,0.001449,0.000132
0.002474,0.000877,0.000121
0.002516,0.001022,0.000176
0.002474,0.000867,0.000132
0.002928,0.001008,0.000133
0.003149,0.001055,0.000173
0.002407,0.001111,0.000183
0.002672,0.000887,0.000135
0.002752,0.001032,0.000138
0.003016,0.001046,0.000201
0.003201,0.000926,0.000169
0.002916,0.001104,0.000206
0.002942,0.000931,0.000134
0.002738,0.001147,0.000145
0.003918,0.001069,0.00014
0.002972,0.001028,0.000145
0.002466,0.000995,0.000132
0.002405,0.000994,0.000154
0.002474,0.001631,0.000144
0.003138,0.000859,0.000121
0.002579,0.001006,0.000158
0.002747,0.00092,0.000135
0.003432,0.00102,0.000202
0.002821,0.00121,0.000138
0.003577,0.001018,0.000169
0.002729,0.001781,0.000141
0.003296,0.000904,0.000154
0.002736,0.000994,0.00015
0.003219,0.001181,0.00014
0.002735,0.001049,0.000154
0.002914,0.001179,0.000146
0.003822,0.001161,0.000657
0.004107,0.000814,0.000143
0.002507,0.000888,0.000168
0.002792,0.0012,0.000143
0.002413,0.000816,0.000185
0.002611,0.00144,0.000145
0.002665,0.001158,0.00014
0.004728,0.001113,0.000141
0.002809,0.001129,0.00021
0.004319,0.001151,0.000153
0.002903,0.001307,0.000137
0.002776,0.001246,0.00016
0.002495,0.000917,0.00012
0.00273,0.000986,0.00013
0.002502,0.000995,0.000167
0.002688,0.001078,0.000129
0.002726,0.001005,0.000123
0.002853,0.001382,0.000135
0.002589,0.000916,0.00013
0.002768,0.001012,0.000137
0.002476,0.000993,0.000128
0.002905,0.000878,0.000134
0.002358,0.000818,0.00012
0.003629,0.001003,0.00014
0.002829,0.001143,0.00047
0.00262,0.001468,0.000163
0.002933,0.001122,0.000138
0.002692,0.001074,0.000141
0.002873,0.001007,0.000132
0.140655,0.000915,0.000229
