Time,Joint States
1729502199.0813508,"(0.023020952491450905, -0.3528155808105469, 0.517204065974597, 0.056785016145578904, -0.7838641817138673, -0.46786413977050784, -0.007669903930664063, -0.003067961572265625, 0.84870578185149, -0.09510680874023437, 0.7903860355398143, -0.3390097537353516, 0.26857777906692726, 0.7857818450415243, 0.8456363215192966, 0.22253587408402542, 0.007673650830483635, -1.1320778201660158, 0.1304520641182218, -0.794602047216797)"
1729502199.0893471,"(0.023020952491450905, -0.3528155808105469, 0.517204065974597, 0.050646095481192, -0.7853981625, -0.4724660821289063, -0.007669903930664063, -0.007669903930664063, 0.8471710516853933, -0.09510680874023437, 0.7888513053737177, -0.3558835423828125, 0.2547652075720567, 0.7857818450415243, 0.8088027975329751, 0.21332749308744506, 0.007673650830483635, -1.145883647241211, 0.135056254616512, -0.794602047216797)"
1729502199.0973463,"(0.02148622232535418, -0.3528155808105469, 0.517204065974597, 0.04604190498290181, -0.7853981625, -0.4755340437011719, -0.007669903930664063, -0.0122718462890625, 0.8441015913531998, -0.09203884716796876, 0.7888513053737177, -0.36201946552734376, 0.23634844557889595, 0.7857818450415243, 0.7719692735466537, 0.20104965175867126, 0.006138920664386908, -1.1351457817382813, 0.13966044511480216, -0.7930680664306641)"
1729502199.1053462,"(0.019951492159257452, -0.3528155808105469, 0.517204065974597, 0.04450717481680508, -0.7853981625, -0.47706802448730473, -0.009203884716796876, -0.010737865502929688, 0.8425668611871031, -0.09050486638183594, 0.7888513053737177, -0.3758252926025391, 0.22407060425012215, 0.7842471148754275, 0.730531559062042, 0.19030654059599414, 0.006138920664386908, -1.121339954663086, 0.13966044511480216, -0.794602047216797)"
1729502199.1133454,"(0.023020952491450905, -0.3512816000244141, 0.517204065974597, 0.03683352398632145, -0.7869321432861328, -0.47860200527343755, -0.010737865502929688, -0.009203884716796876, 0.8410321310210064, -0.08897088559570313, 0.7888513053737177, -0.3911651004638672, 0.2163969534196385, 0.7857818450415243, 0.6936980350757206, 0.17802869926722031, 0.004604190498290181, -1.098330242871094, 0.13966044511480216, -0.794602047216797)"
1729502199.1213522,"(0.023020952491450905, -0.3528155808105469, 0.517204065974597, 0.03069460332193454, -0.7869321432861328, -0.47860200527343755, -0.013805827075195313, -0.007669903930664063, 0.8394974008549096, -0.08897088559570313, 0.7888513053737177, -0.4157087930419922, 0.20104965175867126, 0.7857818450415243, 0.6553297809233024, 0.16421612777234978, 0.004604190498290181, -1.0737865502929689, 0.13812571494870543, -0.794602047216797)"
1729502199.129348,"(0.024555682657547633, -0.3528155808105469, 0.517204065974597, 0.023020952491450905, -0.7884661240722657, -0.47860200527343755, -0.019941750219726564, -0.003067961572265625, 0.8364279405227163, -0.08897088559570313, 0.7888513053737177, -0.4325825816894531, 0.1826328897655105, 0.7842471148754275, 0.6200309871030777, 0.15193828644357596, 0.003069460332193454, -1.0507768385009766, 0.135056254616512, -0.794602047216797)"
1729502199.1373472,"(0.019951492159257452, -0.3528155808105469, 0.517204065974597, 0.023020952491450905, -0.7930680664306641, -0.47860200527343755, -0.027611654150390626, 0.0, 0.8364279405227163, -0.09203884716796876, 0.7888513053737177, -0.4371845240478516, 0.15961193727405962, 0.7842471148754275, 0.5908711139472399, 0.13812571494870543, 0.001534730166096727, -1.0185632419921875, 0.13198679428431853, -0.7930680664306641)"
1729502199.145346,"(0.019951492159257452, -0.3528155808105469, 0.5156693358085003, 0.018416761993160724, -0.7884661240722657, -0.4755340437011719, -0.03067961572265625, 0.003069460332193454, 0.8348932103566195, -0.09510680874023437, 0.7888513053737177, -0.4387185048339844, 0.14426463561309233, 0.7842471148754275, 0.5678501614557889, 0.12738260378602834, 0.001534730166096727, -0.9894176070556642, 0.1258478736199316, -0.794602047216797)"
1729502199.1533482,"(0.024555682657547633, -0.3528155808105469, 0.5156693358085003, 0.012277841328773817, -0.7853981625, -0.4740000629150391, -0.03067961572265625, 0.004604190498290181, 0.8348932103566195, -0.0981747703125, 0.7888513053737177, -0.45252433190917973, 0.13659098478260873, 0.7842471148754275, 0.5463639391304349, 0.11510476245725453, 0.0, -0.9587379913330079, 0.11817422278944797, -0.794602047216797)"
