Time,Joint States
1730103322.1382093,"(-0.0015339807861328126, -0.5338253135742188, 0.5586417804592086, -0.03067961572265625, -0.7900001048583984, -0.4740000629150391, -0.042951462011718754, -0.003067961572265625, 0.9346506711529068, -0.09203884716796876, 0.8026638768685882, -0.5476311406494141, 0.033764063654128, 0.7688998132144602, 0.483440002320469, 0.026090412823644358, 0.001534730166096727, -0.9618059529052735, 0.08594488930141672, -0.8222137013671875)"
1730103322.1462111,"(0.0, -0.5338253135742188, 0.5586417804592086, -0.03067961572265625, -0.7900001048583984, -0.4740000629150391, -0.042951462011718754, -0.003067961572265625, 0.9346506711529068, -0.09203884716796876, 0.8026638768685882, -0.5476311406494141, 0.033764063654128, 0.7688998132144602, 0.4819052721543723, 0.026090412823644358, 0.003069460332193454, -0.9618059529052735, 0.08594488930141672, -0.8237476821533204)"
1730103322.1542096,"(0.0, -0.5338253135742188, 0.5586417804592086, -0.032213596508789064, -0.7900001048583984, -0.4740000629150391, -0.04448544279785156, -0.003067961572265625, 0.9346506711529068, -0.09203884716796876, 0.8026638768685882, -0.5476311406494141, 0.033764063654128, 0.7688998132144602, 0.483440002320469, 0.026090412823644358, 0.003069460332193454, -0.9618059529052735, 0.08594488930141672, -0.8222137013671875)"
1730103322.1622095,"(0.0, -0.5353592943603516, 0.5586417804592086, -0.03067961572265625, -0.7884661240722657, -0.4755340437011719, -0.042951462011718754, -0.003067961572265625, 0.93311594098681, -0.09203884716796876, 0.8026638768685882, -0.5476311406494141, 0.033764063654128, 0.7688998132144602, 0.483440002320469, 0.026090412823644358, 0.003069460332193454, -0.9618059529052735, 0.08594488930141672, -0.8222137013671875)"
1730103322.1702108,"(0.0, -0.5338253135742188, 0.5586417804592086, -0.032213596508789064, -0.7900001048583984, -0.4740000629150391, -0.042951462011718754, -0.003067961572265625, 0.93311594098681, -0.09203884716796876, 0.804198607034685, -0.5460971598632813, 0.033764063654128, 0.7688998132144602, 0.483440002320469, 0.026090412823644358, 0.003069460332193454, -0.9618059529052735, 0.08594488930141672, -0.8237476821533204)"
1730103322.1782146,"(0.0, -0.5353592943603516, 0.5586417804592086, -0.032213596508789064, -0.7900001048583984, -0.4740000629150391, -0.042951462011718754, -0.003067961572265625, 0.9346506711529068, -0.09203884716796876, 0.8026638768685882, -0.5460971598632813, 0.033764063654128, 0.7688998132144602, 0.483440002320469, 0.026090412823644358, 0.003069460332193454, -0.9618059529052735, 0.08594488930141672, -0.8237476821533204)"
1730103322.1862113,"(0.0, -0.5338253135742188, 0.5586417804592086, -0.03067961572265625, -0.7900001048583984, -0.4740000629150391, -0.042951462011718754, -0.003067961572265625, 0.93311594098681, -0.09203884716796876, 0.8026638768685882, -0.5476311406494141, 0.033764063654128, 0.7688998132144602, 0.483440002320469, 0.026090412823644358, 0.003069460332193454, -0.9618059529052735, 0.08594488930141672, -0.8222137013671875)"
1730103322.1944666,"(0.0, -0.5338253135742188, 0.5586417804592086, -0.03067961572265625, -0.7900001048583984, -0.4740000629150391, -0.042951462011718754, -0.003067961572265625, 0.93311594098681, -0.09203884716796876, 0.804198607034685, -0.5476311406494141, 0.033764063654128, 0.7688998132144602, 0.4819052721543723, 0.026090412823644358, 0.003069460332193454, -0.9618059529052735, 0.08594488930141672, -0.8222137013671875)"
1730103322.2025855,"(0.0, -0.5338253135742188, 0.5586417804592086, -0.032213596508789064, -0.7900001048583984, -0.4740000629150391, -0.042951462011718754, -0.003067961572265625, 0.9346506711529068, -0.09203884716796876, 0.8026638768685882, -0.5476311406494141, 0.033764063654128, 0.7688998132144602, 0.483440002320469, 0.026090412823644358, 0.003069460332193454, -0.9618059529052735, 0.08594488930141672, -0.8237476821533204)"
1730103322.2102103,"(0.0, -0.5338253135742188, 0.5586417804592086, -0.032213596508789064, -0.7900001048583984, -0.4755340437011719, -0.042951462011718754, -0.003067961572265625, 0.93311594098681, -0.09203884716796876, 0.8026638768685882, -0.5476311406494141, 0.033764063654128, 0.7688998132144602, 0.483440002320469, 0.026090412823644358, 0.003069460332193454, -0.9618059529052735, 0.08594488930141672, -0.8222137013671875)"
