Time,Joint States
1729156188.270622,"(-0.3666214078857422, -0.22242721398925783, 0.814941718197362, -0.21015536770019533, -0.7961360280029297, -0.7301748541992188, -0.26998061835937504, -0.03374757729492188, 1.3536320064973133, -0.10277671267089844, 0.7934554958720078, -0.5752427947998048, -0.0015339807861328126, 0.7873165752076209, 0.4941831134831461, -0.10124273188476564, 0.023020952491450905, -0.8835729328125, 0.07520177813873963, -0.802271951147461)"
1729156188.272653,"(-0.36968936945800784, -0.21782527163085938, 0.7857818450415243, -0.21475731005859378, -0.794602047216797, -0.7562525275634766, -0.2653786760009766, -0.03067961572265625, 1.3674445779921838, -0.11198059738769532, 0.7934554958720078, -0.5875146410888672, -0.007669903930664063, 0.7857818450415243, 0.48037054198827556, -0.09970875109863282, 0.019951492159257452, -0.8835729328125, 0.06599339714215927, -0.8007379703613282)"
1729156188.273083,"(-0.3727573310302735, -0.21322332927246096, 0.7520177813873963, -0.21475731005859378, -0.794602047216797, -0.7746602969970704, -0.2592427528564453, -0.027611654150390626, 1.3674445779921838, -0.11965050131835939, 0.7934554958720078, -0.6028544489501954, -0.0122718462890625, 0.7857818450415243, 0.46809270065950176, -0.09664078952636719, 0.016882031827064, -0.8835729328125, 0.05525028597948217, -0.802271951147461)"
1729156188.273325,"(-0.3758252926025391, -0.21015536770019533, 0.730531559062042, -0.2086213869140625, -0.7915340856445313, -0.7853981625, -0.25157284892578125, -0.026077673364257814, 1.3582361969956034, -0.12732040524902344, 0.7919207657059112, -0.6181942568115235, -0.015339807861328126, 0.7873165752076209, 0.45581485933072796, -0.09203884716796876, 0.01534730166096727, -0.8851069135986329, 0.04604190498290181, -0.802271951147461)"
1729156188.274568,"(-0.37889325417480474, -0.20555342534179688, 0.7121147970688813, -0.20248546376953128, -0.7884661240722657, -0.7869321432861328, -0.24236896420898438, -0.027611654150390626, 1.3459583556668295, -0.13652428996582033, 0.7934554958720078, -0.6335340646728516, -0.018407769433593752, 0.7857818450415243, 0.44046755766976065, -0.08590292402343751, 0.016882031827064, -0.8881748751708985, 0.03683352398632145, -0.802271951147461)"
1729156188.318087,"(-0.37889325417480474, -0.20095148298339846, 0.696767495407914, -0.18867963669433596, -0.7976700087890626, -0.7853981625, -0.2316310987060547, -0.024543692578125, 1.342888895334636, -0.14879613625488283, 0.7934554958720078, -0.6488738725341797, -0.019941750219726564, 0.7873165752076209, 0.4312591766731803, -0.07976700087890626, 0.019951492159257452, -0.8912428367431641, 0.02148622232535418, -0.802271951147461)"
1729156188.319341,"(-0.37889325417480474, -0.19328157905273438, 0.6829549239130435, -0.16873788647460938, -0.7976700087890626, -0.7915340856445313, -0.220893233203125, -0.02300971179199219, 1.3459583556668295, -0.15493205939941407, 0.7934554958720078, -0.6534758148925782, -0.019941750219726564, 0.7857818450415243, 0.4220507956765999, -0.07363107773437501, 0.016882031827064, -0.8805049712402344, 0.009208380996580362, -0.802271951147461)"
1729156188.320475,"(-0.37889325417480474, -0.19174759826660157, 0.669142352418173, -0.14266021311035157, -0.7884661240722657, -0.7961360280029297, -0.2086213869140625, -0.021475731005859377, 1.3520972763312165, -0.16106798254394533, 0.7934554958720078, -0.6657476611816406, -0.018407769433593752, 0.7903860355398143, 0.41437714484611626, -0.06442719301757813, 0.016882031827064, -0.8805049712402344, 0.009208380996580362, -0.802271951147461)"
1729156188.321663,"(-0.37889325417480474, -0.19021361748046875, 0.6507255904250123, -0.11198059738769532, -0.7915340856445313, -0.7915340856445313, -0.19174759826660157, -0.007669903930664063, 1.35516673666341, -0.15646604018554688, 0.7919207657059112, -0.6872233921875001, -0.01687378864746094, 0.7873165752076209, 0.405168763849536, -0.053689327514648444, 0.016882031827064, -0.8851069135986329, 0.0, -0.8007379703613282)"
1729156188.322899,"(-0.37889325417480474, -0.18714565590820315, 0.6292393680996581, -0.08130098166503907, -0.7930680664306641, -0.7884661240722657, -0.17487380961914065, -0.003067961572265625, 1.3536320064973133, -0.16260196333007815, 0.7919207657059112, -0.7086991231933594, -0.0122718462890625, 0.7873165752076209, 0.3959603828529556, -0.04141748122558594, 0.012277841328773817, -0.8912428367431641, -0.004601942358398438, -0.8007379703613282)"
1729156188.363286,"(-0.3758252926025391, -0.18407769433593751, 0.6123573362725941, -0.05062136594238282, -0.7900001048583984, -0.7853981625, -0.16106798254394533, 0.0, 1.3474930858329264, -0.16873788647460938, 0.7919207657059112, -0.7209709694824219, -0.00613592314453125, 0.7873165752076209, 0.3867520018563752, -0.02914563493652344, 0.012277841328773817, -0.8958447791015626, -0.007669903930664063, -0.7961360280029297)"
1729156188.364829,"(-0.3742913118164063, -0.18100973276367188, 0.6000794949438203, -0.019941750219726564, -0.7900001048583984, -0.7838641817138673, -0.14879613625488283, 0.001534730166096727, 1.3367499746702491, -0.17640779040527346, 0.7919207657059112, -0.728640873413086, 0.001534730166096727, 0.7873165752076209, 0.37600889069369814, -0.01687378864746094, 0.01074311116267709, -0.900446721459961, -0.0122718462890625, -0.794602047216797)"
1729156188.366037,"(-0.37122335024414066, -0.17794177119140625, 0.5908711139472399, 0.009208380996580362, -0.7900001048583984, -0.7807962201416017, -0.1334563283935547, 0.003069460332193454, 1.3244721333414753, -0.18407769433593751, 0.7919207657059112, -0.7363107773437501, 0.009208380996580362, 0.7857818450415243, 0.36680050969711775, -0.004601942358398438, 0.009208380996580362, -0.9050486638183595, -0.010737865502929688, -0.794602047216797)"
1729156188.367315,"(-0.36815538867187503, -0.17487380961914065, 0.584732193282853, 0.03529879382022472, -0.7900001048583984, -0.7761942777832032, -0.122718462890625, 0.004604190498290181, 1.3152637523448951, -0.19174759826660157, 0.7919207657059112, -0.7409127197021484, 0.01074311116267709, 0.7842471148754275, 0.35759212870053736, 0.006138920664386908, 0.009208380996580362, -0.9065826446044922, -0.0122718462890625, -0.802271951147461)"
1729156188.368576,"(-0.36815538867187503, -0.17180584804687501, 0.5862669234489497, 0.06138920664386908, -0.7900001048583984, -0.7731263162109375, -0.10891263581542969, 0.003069460332193454, 1.3014511808500246, -0.19941750219726564, 0.7934554958720078, -0.7470486428466797, 0.019951492159257452, 0.7888513053737177, 0.348383747703957, 0.016882031827064, 0.009208380996580362, -0.9065826446044922, -0.015339807861328126, -0.8038059319335938)"
1729156188.405968,"(-0.3635534463134766, -0.16873788647460938, 0.5862669234489497, 0.08594488930141672, -0.7900001048583984, -0.760854469921875, -0.09510680874023437, -0.003067961572265625, 1.2830344188568639, -0.20401944455566406, 0.7934554958720078, -0.7516505852050782, 0.03683352398632145, 0.7903860355398143, 0.3361059063751832, 0.029159873155837814, 0.007673650830483635, -0.9019807022460938, -0.018407769433593752, -0.8038059319335938)"
1729156188.406294,"(-0.36048548474121095, -0.16566992490234375, 0.584732193282853, 0.1074311116267709, -0.7915340856445313, -0.7470486428466797, -0.08130098166503907, 0.003069460332193454, 1.2661523870297997, -0.2070874061279297, 0.7934554958720078, -0.7547185467773438, 0.05371555581338545, 0.7903860355398143, 0.32536279521250616, 0.039902984318514904, 0.007673650830483635, -0.8958447791015626, -0.024543692578125, -0.8038059319335938)"
1729156188.406569,"(-0.3574175231689453, -0.16413594411621094, 0.584732193282853, 0.12738260378602834, -0.7915340856445313, -0.7393787389160157, -0.06596117380371094, 0.003069460332193454, 1.247735625036639, -0.2070874061279297, 0.7934554958720078, -0.7562525275634766, 0.06599339714215927, 0.7903860355398143, 0.31461968404982904, 0.052180825647288716, 0.004604190498290181, -0.8897088559570313, -0.03067961572265625, -0.8038059319335938)"
1729156188.406839,"(-0.3528155808105469, -0.16260196333007815, 0.5862669234489497, 0.14426463561309233, -0.7915340856445313, -0.728640873413086, -0.05522330830078125, 0.003069460332193454, 1.2323883233756718, -0.20555342534179688, 0.7919207657059112, -0.7577865083496095, 0.07673650830483635, 0.7903860355398143, 0.30541130305324865, 0.06445866697606253, 0.003069460332193454, -0.8820389520263673, -0.02914563493652344, -0.8038059319335938)"
1729156188.407114,"(-0.3482136384521485, -0.15953400175781252, 0.5862669234489497, 0.16268139760625308, -0.7915340856445313, -0.7194369886962891, -0.042951462011718754, 0.004604190498290181, 1.2170410217147045, -0.20555342534179688, 0.7919207657059112, -0.760854469921875, 0.08747961946751344, 0.7888513053737177, 0.29773765222276505, 0.07673650830483635, 0.0, -0.8789709904541017, -0.024543692578125, -0.802271951147461)"
1729156188.407379,"(-0.34361169609375003, -0.15646604018554688, 0.584732193282853, 0.1764939691011236, -0.7915340856445313, -0.711767084765625, -0.03374757729492188, 0.004604190498290181, 1.2001589898876406, -0.20401944455566406, 0.7934554958720078, -0.7685243738525391, 0.09822273063019053, 0.7857818450415243, 0.2946681918905716, 0.08747961946751344, -0.004601942358398438, -0.8835729328125, -0.018407769433593752, -0.8007379703613282)"
1729156188.449973,"(-0.3390097537353516, -0.15493205939941407, 0.5862669234489497, 0.18877181042989744, -0.7900001048583984, -0.704097180834961, -0.021475731005859377, 0.004604190498290181, 1.1848116882266733, -0.20095148298339846, 0.7934554958720078, -0.777728258569336, 0.10896584179286761, 0.7857818450415243, 0.2962029220566683, 0.09975746079628726, -0.004601942358398438, -0.8927768175292969, -0.015339807861328126, -0.7992039895751953)"
1729156188.450303,"(-0.3328738305908203, -0.15186409782714844, 0.5862669234489497, 0.20104965175867126, -0.7915340856445313, -0.696427276904297, -0.010737865502929688, 0.004604190498290181, 1.1663949262335125, -0.19788352141113283, 0.7919207657059112, -0.7900001048583984, 0.1197089529555447, 0.7842471148754275, 0.3023418427210552, 0.11203530212506108, -0.003067961572265625, -0.9096506061767579, -0.013805827075195313, -0.7961360280029297)"
1729156188.450596,"(-0.3267379074462891, -0.15033011704101565, 0.5893363837811432, 0.2102580327552516, -0.7930680664306641, -0.6872233921875001, 0.0, 0.004604190498290181, 1.1495128944064485, -0.1948155598388672, 0.7934554958720078, -0.8038059319335938, 0.1304520641182218, 0.7857818450415243, 0.31461968404982904, 0.12738260378602834, -0.0015339807861328126, -0.9341942987548829, -0.009203884716796876, -0.7961360280029297)"
1729156188.450874,"(-0.32060198430175785, -0.14879613625488283, 0.5939405742794334, 0.21793168358573523, -0.7992039895751953, -0.6749515458984375, 0.009208380996580362, 0.004604190498290181, 1.1310961324132878, -0.18561167512207033, 0.7934554958720078, -0.8222137013671875, 0.1411951752808989, 0.7842471148754275, 0.3299669857107963, 0.1411951752808989, 0.0, -0.9618059529052735, -0.00613592314453125, -0.8007379703613282)"
