Time,Joint States
1729143978.024929,"(0.135056254616512, -0.21475731005859378, 0.7243926383976551, -0.0613592314453125, -0.7900001048583984, -0.3528155808105469, -0.08130098166503907, -0.003067961572265625, 0.9653452744748413, 0.006138920664386908, 0.7934554958720078, -0.5368932751464844, 0.03683352398632145, 0.7888513053737177, 0.6844896540791403, 0.03529879382022472, 0.003069460332193454, -1.153553551171875, 0.16882031827063998, -0.7992039895751953)"
1729143978.025144,"(0.13659098478260873, -0.21322332927246096, 0.7289968288959454, -0.07516505852050782, -0.794602047216797, -0.3512816000244141, -0.09510680874023437, -0.004601942358398438, 0.966880004640938, 0.003069460332193454, 0.7934554958720078, -0.5338253135742188, 0.023020952491450905, 0.7873165752076209, 0.6783507334147534, 0.023020952491450905, 0.003069460332193454, -1.1443496664550783, 0.16728558810454325, -0.7992039895751953)"
1729143978.025349,"(0.13812571494870543, -0.21168934848632814, 0.7382052098925257, -0.09050486638183594, -0.8007379703613282, -0.3528155808105469, -0.10891263581542969, -0.003067961572265625, 0.966880004640938, 0.001534730166096727, 0.7934554958720078, -0.5322913327880859, 0.01074311116267709, 0.7873165752076209, 0.6722118127503665, 0.009208380996580362, 0.001534730166096727, -1.136679762524414, 0.16575085793844652, -0.7992039895751953)"
1729143978.025554,"(0.13966044511480216, -0.21015536770019533, 0.7474135908891061, -0.10737865502929689, -0.7992039895751953, -0.3528155808105469, -0.122718462890625, -0.004601942358398438, 0.9791578459697118, -0.004601942358398438, 0.7934554958720078, -0.5322913327880859, -0.0015339807861328126, 0.7873165752076209, 0.669142352418173, -0.004601942358398438, -0.0015339807861328126, -1.12900985859375, 0.16728558810454325, -0.8007379703613282)"
1729143978.025754,"(0.1411951752808989, -0.2086213869140625, 0.7612261623839766, -0.12425244367675782, -0.7992039895751953, -0.37122335024414066, -0.13805827075195312, -0.004601942358398438, 1.0021787984611628, -0.013805827075195313, 0.7934554958720078, -0.5322913327880859, -0.0122718462890625, 0.7873165752076209, 0.6614687015876893, -0.01687378864746094, -0.00613592314453125, -1.1198059738769532, 0.17188977860283344, -0.8007379703613282)"
1729143978.068636,"(0.1411951752808989, -0.2070874061279297, 0.7765734640449439, -0.13959225153808594, -0.794602047216797, -0.3896311196777344, -0.1457281746826172, -0.003067961572265625, 1.028269211284807, -0.021475731005859377, 0.7934554958720078, -0.5307573520019532, -0.02300971179199219, 0.7873165752076209, 0.646121399926722, -0.03067961572265625, -0.007669903930664063, -1.1090681083740235, 0.16882031827063998, -0.7992039895751953)"
1729143978.068888,"(0.1411951752808989, -0.2070874061279297, 0.7888513053737177, -0.1580000209716797, -0.7900001048583984, -0.40803888911132813, -0.15493205939941407, 0.0, 1.0543596241084516, -0.024543692578125, 0.7934554958720078, -0.5292233712158203, -0.03374757729492188, 0.7873165752076209, 0.6292393680996581, -0.04141748122558594, -0.007669903930664063, -1.098330242871094, 0.16575085793844652, -0.8007379703613282)"
1729143978.069094,"(0.1411951752808989, -0.20555342534179688, 0.8088027975329751, -0.17180584804687501, -0.7884661240722657, -0.4264466585449219, -0.16873788647460938, 0.006138920664386908, 1.080450036932096, -0.02914563493652344, 0.7919207657059112, -0.5261554096435547, -0.042951462011718754, 0.7873165752076209, 0.6138920664386908, -0.05215534672851563, -0.007669903930664063, -1.0875923773681642, 0.16114666744015635, -0.8007379703613282)"
1729143978.069485,"(0.13966044511480216, -0.20248546376953128, 0.8287542896922325, -0.18407769433593751, -0.7900001048583984, -0.4479223895507813, -0.18100973276367188, 0.007673650830483635, 1.108075179921837, -0.03067961572265625, 0.7934554958720078, -0.5215534672851563, -0.05062136594238282, 0.7873165752076209, 0.601614225109917, -0.06289321223144531, -0.007669903930664063, -1.0737865502929689, 0.15040355627747926, -0.7992039895751953)"
1729143978.070001,"(0.1411951752808989, -0.20095148298339846, 0.8471710516853933, -0.20248546376953128, -0.7915340856445313, -0.47706802448730473, -0.1948155598388672, 0.007673650830483635, 1.1372350530776747, -0.03067961572265625, 0.7934554958720078, -0.5169515249267579, -0.05675728908691407, 0.7857818450415243, 0.5878016536150464, -0.07209709694824219, -0.007669903930664063, -1.0599807232177736, 0.13812571494870543, -0.7992039895751953)"
