"Time,Accel_x,Accel_y,Accel_z,Orientation_x,Orientation_y,Orientation_z,Orientation_w,Gyro_x,Gyro_y,Gyro_z"
"16894,0.00,0.01,1.03,0.0062,-0.0018,-0.0270,0.9996,-0.79,0.24,-1.28"
"16944,0.01,0.01,1.02,0.0066,-0.0019,-0.0270,0.9996,-0.73,0.12,-1.10"
"16994,0.00,0.01,1.03,0.0058,-0.0009,-0.0270,0.9996,-0.67,0.24,-1.22"
"17044,-0.00,0.01,1.02,0.0069,-0.0012,-0.0270,0.9996,-0.73,0.12,-1.22"
"17094,0.00,0.01,1.02,0.0058,-0.0010,-0.0270,0.9996,-0.85,0.06,-1.16"
"17144,0.00,0.01,1.02,0.0060,-0.0020,-0.0270,0.9996,-1.04,0.18,-1.16"
"17194,0.00,0.01,1.02,0.0053,-0.0017,-0.0270,0.9996,-0.85,0.18,-1.16"
"17244,0.00,0.01,1.02,0.0064,-0.0016,-0.0270,0.9996,-0.91,0.12,-1.22"
"17294,0.00,0.01,1.02,0.0065,-0.0013,-0.0270,0.9996,-0.98,0.24,-1.28"
"17344,0.00,0.01,1.02,0.0066,-0.0020,-0.0270,0.9996,-0.85,0.00,-1.34"
"17394,0.00,0.01,1.02,0.0069,-0.0015,-0.0270,0.9996,-0.98,0.06,-1.16"
"17444,0.00,0.01,1.02,0.0069,-0.0016,-0.0270,0.9996,-0.91,0.18,-1.22"
"17494,0.00,0.01,1.02,0.0060,-0.0016,-0.0270,0.9996,-0.91,0.06,-1.22"
"17544,0.00,0.01,1.02,0.0064,-0.0013,-0.0270,0.9996,-0.67,0.24,-1.28"
"17594,0.00,0.01,1.03,0.0060,-0.0017,-0.0270,0.9996,-0.73,0.12,-1.22"
"17644,-0.00,0.01,1.02,0.0049,-0.0004,-0.0270,0.9996,-0.73,0.12,-1.22"
"17694,0.00,0.01,1.02,0.0061,-0.0015,-0.0270,0.9996,-0.73,0.18,-1.34"
"17744,0.01,0.01,1.02,0.0056,-0.0015,-0.0270,0.9996,-0.73,0.18,-1.10"
