Seq,Time (secs),Time (nsecs),Orientation_X,Orientation_Y,Orientation_Z,Orientation_W,Angular_Vel_X,Angular_Vel_Y,Angular_Vel_Z,Linear_Acc_X,Linear_Acc_Y,Linear_Acc_Z
126094,1729159830,580527230,0.16354605360864485,0.06954137155784368,-0.01155798549878847,0.9840137697014723,-1.2043653744287877,0.022258845716172506,-0.9026411078804728,-1.515088113385757,3.4504047202196846,10.092219722713116
126095,1729159830,588748459,0.14591860820088637,0.051581806840549714,-0.007618768210052756,0.9879215714593653,-1.3547689659283897,0.021869108658944137,-0.8399933978131678,-1.1652324456681729,3.21730484751267,10.652917281625916
126096,1729159830,596521617,0.12374933695531956,0.03550518527721848,-0.004430658420863613,0.9916682170401081,-1.478640635683651,0.0348316583299301,-0.7679238767943602,-0.8047237606137944,2.7582978425896334,10.879441960772423
126097,1729159830,604531767,0.10844260294133293,0.024515601482616788,-0.0026751300700591507,0.993796775417571,-1.6249052579238914,0.08560388434018686,-0.5884613445152256,-0.5237751047569484,2.288245044665108,10.360063773875563
126098,1729159830,612524131,0.1028778287079004,0.026339371617921045,-0.002725157742369881,0.9943414722208865,-1.7373540548328332,0.13650034289651844,-0.3960715029168005,-0.5457843633912786,2.107727516301018,10.07668844132729
126099,1729159830,620518909,0.0962316813381524,0.03898397476235879,-0.0037719066232428967,0.9945880986312804,-1.8354730174034648,0.17640339938248206,-0.13718004724504082,-0.8010437064136734,1.9560819492337356,10.013444635841296
126100,1729159830,628550024,0.08912033747811776,0.04665425373526008,-0.004179077434094476,0.9949188315475751,-1.9075407868511665,0.17097261903318006,0.11606354029428224,-0.9415100434282822,1.780339870223835,9.857464210703997
126101,1729159830,636564019,0.07729583991756288,0.0562082913962752,-0.004364688159474443,0.9954129447656487,-1.952058518704174,0.1451525775661112,0.3016392076733766,-1.1131782062327504,1.5168773132475821,9.707612216607945
126102,1729159830,644536064,0.05756188380798749,0.05359613543700705,-0.003094695999396309,0.9968974403896145,-1.9762150174472062,0.07389515463434372,0.4444856726490235,-0.9829838622162127,1.0492295044036275,9.054824209847578
126103,1729159830,652534477,0.039763119941885514,0.05096221057313674,-0.002030667448584082,0.9979066207695486,-1.9804923552179365,-0.0016374338572931815,0.5408358031709624,-0.8782916173785555,0.6824495593316297,8.549426826933939
126104,1729159830,660534770,0.020647227700178097,0.04970178026283319,-0.001027693993408147,0.9985501333794202,-1.9447466523487922,-0.10953342598719397,0.6437690279991011,-0.7977591781908052,0.33046108081382153,7.987135777556847
126105,1729159830,668534093,-0.026690038470919747,0.06592689449354257,0.0017640617007481038,0.9974658763662916,-1.810491364339867,-0.2525979925741483,0.7659769516235928,-0.8617277725394831,-0.3471224896953008,6.481151317608326
126106,1729159830,676546754,0.004795867051341164,0.0869186899541874,-0.00041843896880942237,0.9962037772989536,-1.6933288462487772,-0.3507817443087197,0.8618632790557755,-1.4256361935529867,0.07807302473750703,8.107274115760308
126107,1729159830,684543087,-0.03035519016892437,0.07385206880186529,0.0022489800221122927,0.996804582880894,-1.6000440720751736,-0.5131346802847363,0.8431965545133815,-1.3806695603700732,-0.5639170286633551,9.249344810032357
126108,1729159830,692538708,-0.06194768504516327,0.07837653712207926,0.004879715236894909,0.9949853220653576,-1.525768534928144,-0.7037725653305311,0.763034729831096,-1.4817793692786845,-1.1595613866316068,9.274984669222539
126109,1729159830,700528490,-0.08375808607499192,0.054366108033295724,0.004576522948110646,0.9949914395370805,-1.4011734810850645,-0.9152126303713513,0.6370363537741729,-0.9391064362644763,-1.4324326828090421,8.447370180195632
126110,1729159830,708527055,-0.100046141932297,0.018930607193092634,0.0019038324808675195,0.9948008730482941,-1.1791276875133538,-0.9373569142761836,0.506097620149955,-0.33553586371181077,-1.7548910305838628,8.636500842248239
126111,1729159830,716547915,-0.0949998979069225,0.003150663618705053,0.0003006740989972219,0.995472250899804,-0.9935403338104976,-0.8182538755043911,0.3836883036448349,-0.05838767911575831,-1.7446194779694582,9.057394732643864
126112,1729159830,724528451,-0.1212241112895509,-0.0025922332025748777,-0.0003165769571279905,0.9926217280253905,-0.8472813365488971,-0.5565085947677876,0.2549030057516988,0.04660966914187314,-2.1476256101215188,8.661581257310928
126113,1729159830,732533034,-0.18142427657396565,0.005052206447425986,0.0009320732401083511,0.9833914979900431,-0.7608030083763231,-0.3688117419005591,0.13676558111546205,-0.10323644949143862,-3.5850935984947863,9.385604558829916
126114,1729159830,740534055,-0.18883710242217633,-0.029502114342777584,-0.005675819726353293,0.9815487553191314,-0.5990879756155745,-0.3136617884775963,-0.10098737775939635,0.5892809818676368,-3.6340246673976533,9.09481485687998
126115,1729159830,748544987,-0.16907383318629965,-0.06441947132811378,-0.011075122611119816,0.983433532225054,-0.2913423755354196,-0.27120663507165393,-0.3802856628136235,1.3002359255463631,-3.3006617572257015,9.314666049137754
126116,1729159830,756539120,-0.22188040991736152,-0.040998324384390494,-0.009337953918463605,0.9741668356648119,-0.013894582088603807,-0.20061039651311316,-0.6057584822049962,0.9628191419977399,-4.945136970106906,10.292208790859604
126117,1729159830,764532315,-0.20893979614463976,-0.013722883086592964,-0.002932271239941056,0.9778278201463709,0.278152662110785,-0.13483969999757697,-0.7350825129793512,0.34689044515958134,-5.050037626400081,11.277369012308732
126118,1729159830,772534448,-0.23083294646172053,-0.0010275735236887943,-0.00024378167889470802,0.9729928239668302,0.5065922663131722,-0.08771486098193869,-0.7569115333924381,0.026653781255905076,-5.668432805332235,11.274224293127427
126119,1729159830,780535329,-0.21673079043636193,0.011497047063936202,0.002552617557829887,0.9761603692679,0.7390106026020996,-0.0011204191522573848,-0.7597923841652016,-0.2861559807581757,-5.140207769136841,11.005144556345206
126120,1729159830,788530590,-0.20364943602536795,0.016069667166005115,0.0033430970221938524,0.9789062757516797,0.9320985521196721,0.06616108815818453,-0.7896164386853537,-0.3694546455838117,-4.486647994001635,10.316493508709467
126121,1729159830,796529244,-0.19050388555500292,-0.001231585419305651,-0.00023899892004618012,0.9816856399404635,1.161184878179116,0.13717967696971595,-0.8228357136100781,0.02445114331377553,-3.6448810571431687,9.037559559815524
126122,1729159830,804524181,-0.19582920422719466,-0.007920042291359218,-0.0015816521025001703,0.980604759359485,1.3318404986088208,0.2564150413198005,-0.7955156817426272,0.14252105464060907,-3.388578447518323,8.145700704151032
126123,1729159830,812525197,-0.1734225053317252,-0.0002216827993781281,-3.903628403391416e-05,0.9848474927507166,1.4218888590842447,0.36626836546143404,-0.7357032763530295,0.0038703561730373173,-2.9367187750539623,8.080088336308979
126124,1729159830,820526898,-0.16436162495917775,0.021913207114938438,0.0036522745054734162,0.9861499523326324,1.4026991847980295,0.4658098748019147,-0.5963731481839971,-0.3924816400559432,-2.862885188372221,8.349812349929918
126125,1729159830,828555765,-0.16232665150796188,0.04022552023420333,0.006623095625988684,0.9858945685703058,1.3205208300236033,0.5195751195457347,-0.4663748545832163,-0.7437779964847377,-2.9174655649276295,8.619146412643497
126126,1729159830,836556436,-0.14153172893732746,0.037846360454670595,0.005414968599230752,0.9891951783239824,1.1601087111173571,0.5135221608604438,-0.30621769656057574,-0.7151356443263895,-2.6169409197671247,8.957678352957192
126127,1729159830,844533310,-0.12612978731625674,0.03743587012117513,0.004763239048255233,0.9912956894557726,1.0532191882370587,0.46434154907283187,-0.1160458981638824,-0.7051328380118493,-2.3346331419481654,9.025525123346581
126128,1729159830,852532755,-0.13378152396771378,0.04470128356465438,0.006040711161687293,0.9899837417357971,0.9933423751235001,0.43227904163149256,0.03977480689741267,-0.8413467328364065,-2.46787556510054,8.964000774691542
126129,1729159830,860534200,-0.12810117235377144,0.06674405781645204,0.008640938459801132,0.9894749388288303,0.9612474978085231,0.4126158471052269,0.17328209571162068,-1.2872331422409065,-2.419012969675558,9.184941684297346
126130,1729159830,868534389,-0.1364885309915608,0.07363888994415516,0.010174499260744829,0.987848507798818,0.9488016124029295,0.38336463786952424,0.260623200045,-1.4700102491140752,-2.659043099188147,9.437695153400673
126131,1729159830,876531921,-0.13165999366197847,0.08383102400987635,0.011174858737151691,0.9876806811994391,0.9690039351546054,0.33942112851745665,0.30238561110847684,-1.755650335259461,-2.6900548585363255,9.909212576659543
