Time,Joint States
1729156721.229081,"(-0.43104860090332037, -0.3006602340820313, 0.6783507334147534, -0.13805827075195312, -0.7992039895751953, -0.6826214498291016, -0.16566992490234375, 0.003069460332193454, 1.18634641839277, -0.10891263581542969, 0.7949902260381047, -0.6504078533203126, 0.013812571494870543, 0.7873165752076209, 0.4865094626526624, -0.009203884716796876, 0.01074311116267709, -1.0170292612060547, 0.04143771448461163, -0.7992039895751953)"
1729156721.270104,"(-0.42798063933105474, -0.3006602340820313, 0.6737465429164632, -0.12578642446289062, -0.794602047216797, -0.6780195074707032, -0.15186409782714844, 0.003069460332193454, 1.1786727675622863, -0.10891263581542969, 0.7949902260381047, -0.6504078533203126, 0.023020952491450905, 0.7857818450415243, 0.4849747324865657, 0.003069460332193454, 0.009208380996580362, -1.0170292612060547, 0.04297244465070836, -0.7992039895751953)"
1729156721.270865,"(-0.4264466585449219, -0.30219421486816406, 0.669142352418173, -0.11198059738769532, -0.7915340856445313, -0.6718835843261719, -0.13499030917968752, 0.003069460332193454, 1.1679296563996093, -0.1104466166015625, 0.7934554958720078, -0.6504078533203126, 0.033764063654128, 0.7857818450415243, 0.4849747324865657, 0.01534730166096727, 0.007673650830483635, -1.0185632419921875, 0.04450717481680508, -0.8007379703613282)"
1729156721.271085,"(-0.4233786969726563, -0.3037281956542969, 0.6660728920859795, -0.09664078952636719, -0.7884661240722657, -0.6657476611816406, -0.11351457817382814, 0.004604190498290181, 1.157186545236932, -0.11351457817382814, 0.7934554958720078, -0.6519418341064454, 0.04450717481680508, 0.7857818450415243, 0.483440002320469, 0.03222933348803127, 0.006138920664386908, -1.0246991651367188, 0.050646095481192, -0.8007379703613282)"
1729156721.271293,"(-0.42031073540039066, -0.30219421486816406, 0.6614687015876893, -0.08130098166503907, -0.7900001048583984, -0.6596117380371094, -0.09510680874023437, 0.003069460332193454, 1.1479781642403517, -0.11811652053222657, 0.7873165752076209, -0.655009795678711, 0.05525028597948217, 0.7873165752076209, 0.48037054198827556, 0.050646095481192, 0.004604190498290181, -1.0323690690673828, 0.05985447647777235, -0.8007379703613282)"
1729156721.271496,"(-0.417242773828125, -0.3052621764404297, 0.6599339714215926, -0.06596117380371094, -0.7900001048583984, -0.6519418341064454, -0.07823302009277344, 0.003069460332193454, 1.1372350530776747, -0.11965050131835939, 0.7842471148754275, -0.6565437764648437, 0.07213231780654616, 0.7857818450415243, 0.4773010816560821, 0.06906285747435272, 0.004604190498290181, -1.0293011074951173, 0.0629239368099658, -0.8007379703613282)"
1729156721.318264,"(-0.4141748122558594, -0.3052621764404297, 0.6568645110893991, -0.04908738515625, -0.7900001048583984, -0.6427379493896485, -0.0613592314453125, 0.003069460332193454, 1.124957211748901, -0.122718462890625, 0.7842471148754275, -0.6596117380371094, 0.08594488930141672, 0.7857818450415243, 0.47576635148998536, 0.08287542896922326, 0.004604190498290181, -1.0339030498535158, 0.06138920664386908, -0.8007379703613282)"
1729156721.321915,"(-0.41110685068359376, -0.3067961572265625, 0.6553297809233024, -0.032213596508789064, -0.7900001048583984, -0.6304661031005859, -0.04908738515625, 0.003069460332193454, 1.1142141005862238, -0.12425244367675782, 0.7857818450415243, -0.6611457188232422, 0.09361854013190035, 0.7857818450415243, 0.47423162132388863, 0.09361854013190035, 0.004604190498290181, -1.0369710114257813, 0.06138920664386908, -0.8007379703613282)"
1729156721.325025,"(-0.4065049083251953, -0.3083301380126953, 0.6522603205911089, -0.01687378864746094, -0.7900001048583984, -0.6197282375976563, -0.03528155808105469, 0.001534730166096727, 1.10193625925745, -0.12578642446289062, 0.7857818450415243, -0.6642136803955079, 0.10896584179286761, 0.7888513053737177, 0.47423162132388863, 0.1028269211284807, 0.004604190498290181, -1.0446409153564453, 0.05831974631167563, -0.8007379703613282)"
1729156721.328934,"(-0.3988350043945313, -0.3083301380126953, 0.6491908602589155, -0.0015339807861328126, -0.7915340856445313, -0.6074563913085937, -0.021475731005859377, 0.001534730166096727, 1.0896584179286761, -0.12425244367675782, 0.7903860355398143, -0.6718835843261719, 0.12431314345383489, 0.7903860355398143, 0.47576635148998536, 0.11357003229115781, 0.004604190498290181, -1.0569127616455078, 0.05371555581338545, -0.802271951147461)"
